,Course Name,Ratings,Number of Reviews,Course Provider
0,R Programming,2.8,245 Reviews,Coursera
1,The Data Scientist’s Toolbox,3.3,165 Reviews,Coursera
2,Computational Social Science,4.8,76 Reviews,Coursera
3,Python for Data Science,4.4,47 Reviews,edX
4,Getting and Cleaning Data,3.5,57 Reviews,Coursera
5,The Analytics Edge,4.7,80 Reviews,edX
6,Probability - The Science of Uncertainty and Data,4.9,32 Reviews,edX
7,Become a Data Analyst,4.5,64 Reviews,Udacity
8,Introduction to Big Data,2.7,35 Reviews,Coursera
9,Introduction to Data Science in Python,2.4,46 Reviews,Coursera
10,Exploratory Data Analysis,3.9,39 Reviews,Coursera
11,Probability and Statistics in Data Science using Python,1.8,26 Reviews,edX
12,Mastering Data Analysis in Excel,1.8,26 Reviews,Coursera
13,A Crash Course in Data Science,3.5,23 Reviews,Coursera
14,Hadoop Platform and Application Framework,1.9,25 Reviews,Coursera
15,Mining Massive Datasets,4.6,25 Reviews,edX
16,Introduction to Computational Thinking and Data Science,4.5,31 Reviews,edX
17,Digital Marketing Analytics in Practice,4.2,24 Reviews,Coursera
18,Statistical Inference,2.8,34 Reviews,Coursera
19,Statistics and R,3.5,20 Reviews,edX
20,Regression Models,2.5,33 Reviews,Coursera
21,Spatial Data Science: The New Frontier in Analytics,5,41 Reviews,Independent
22,Building a Data Science Team,3.6,14 Reviews,Coursera
23,Whole genome sequencing of bacterial genomes - tools and applications,4.8,22 Reviews,Coursera
24,Reproducible Research,3.9,27 Reviews,Coursera
25,Data Science in Real Life,3.2,12 Reviews,Coursera
26,Python for Genomic Data Science,2.4,12 Reviews,Coursera
27,Introducción a la Ciencia de Datos con Python,4.8,34 Reviews,edX
28,Making Sense of Data in the Media,4.7,33 Reviews,FutureLearn
29,"Applied Plotting, Charting &amp; Data Representation in Python",2.4,9 Reviews,Coursera
30,Data Science: R Basics,4.6,10 Reviews,edX
31,Managing Data Analysis,2.7,9 Reviews,Coursera
32,Data Science Math Skills,4.1,10 Reviews,Coursera
33,Data Visualization and Communication with Tableau,3.8,9 Reviews,Coursera
34,Text Mining and Analytics,3.7,10 Reviews,Coursera
35,Mathematical Biostatistics Boot Camp 2,4,4 Reviews,Coursera
36,The R Programming Environment,2.8,4 Reviews,Coursera
37,Developing Data Products,3.9,18 Reviews,Coursera
38,Data Science: Machine Learning,3.8,4 Reviews,edX
39,Statistical Thinking for Data Science and Analytics,2.2,19 Reviews,edX
40,Cluster Analysis in Data Mining,2.6,7 Reviews,Coursera
41,Data Science and Agile Systems for Product Management,4.7,24 Reviews,edX
42,Pattern Discovery in Data Mining,2.1,21 Reviews,Coursera
43,Data Analysis for Social Scientists,3.2,13 Reviews,edX
44,Causal Diagrams: Draw Your Assumptions Before Your Conclusions,5,3 Reviews,edX
45,Data Science: Visualization,4.7,3 Reviews,edX
46,High-Dimensional Data Analysis,3.7,3 Reviews,edX
47,Data Science: Linear Regression,2.3,3 Reviews,edX
48,Genome Sequencing (Bioinformatics II),5,4 Reviews,Coursera
49,Building R Packages,3,2 Reviews,Coursera
